2026-04-17T16:02:14.107408+01:00 2026-04-17 15: 02:14 | INFO | qsh.server | event=auth_success session='S0006' client='10.10.0.1'
2026-04-17T16:02:20.708306+01:00 2026-04-17 15: 02:20 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='shell'
2026-04-17T16:02:20.708306+01:00 2026-04-17 15: 02:20 | INFO | qsh.server | event=command_execute session='S0006' client='10.10.0.1' command='pwd'
2026-04-17T16:02:31.570650+01:00 2026-04-17 15: 02:31 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='shell'
2026-04-17T16:02:31.570820+01:00 2026-04-17 15: 02:31 | INFO | qsh.server | event=command_execute session='S0006' client='10.10.0.1' command='ls'
2026-04-17T16:03:44.491547+01:00 2026-04-17 15: 03:44 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='download'
2026-04-17T16:03:44.491547+01:00 2026-04-17 15: 03:44 | INFO | qsh.server | event=file_action session='S0006' client='10.10.0.1' action='download' remote_path='testme.txt'
2026-04-17T16:04:04.731225+01:00 2026-04-17 15: 04:04 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='shell'
2026-04-17T16:04:04.731225+01:00 2026-04-17 15: 04:04 | INFO | qsh.server | event=command_execute session='S0006' client='10.10.0.1' command='cat testme.txt'
2026-04-17T16:04:24.874579+01:00 2026-04-17 15: 04:24 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='download'
2026-04-17T16:04:24.874579+01:00 2026-04-17 15: 04:24 | INFO | qsh.server | event=file_action session='S0006' client='10.10.0.1' action='download' remote_path='testme.txt'
2026-04-17T16:04:28.743948+01:00 2026-04-17 15: 04:28 | INFO | qsh.server | event=request_received session='S0006' client='10.10.0.1' action='quit'
2026-04-17T16:04:28.744387+01:00 2026-04-17 15: 04:28 | INFO | qsh.server | event=session_close session='S0006' client='10.10.0.1' reason='client_quit'
2026-04-17T16:07:07.926162+01:00 2026-04-17 15: 07:07 | INFO | qsh.server | event=session_open session='S0007' client='10.10.0.1' addr=('10.10.0.1', 51788)
2026-04-17T16:07:08.099527+01:00 2026-04-17 15: 07:08 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T16:07:08.100326+01:00 2026-04-17 15: 07:08 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=238 sifted_rate=0.4648
2026-04-17T16:07:08.100567+01:00 2026-04-17 15: 07:08 | INFO | qsh.server | event=secure_channel_active session='S0007' client='10.10.0.1'
2026-04-17T16:07:08.107708+01:00 2026-04-17 15: 07:08 | INFO | qsh.server | event=request_received session='S0007' client='10.10.0.1' action='auth'
2026-04-17T16:07:08.212863+01:00 2026-04-17 15: 07:08 | INFO | qsh.server | event=auth_success session='S0007' client='10.10.0.1'
2026-04-17T16:07:26.366830+01:00 2026-04-17 15: 07:26 | INFO | qsh.server | event=request_received session='S0007' client='10.10.0.1' action='download'
2026-04-17T16:07:26.367076+01:00 2026-04-17 15: 07:26 | INFO | qsh.server | event=file_action session='S0007' client='10.10.0.1' action='download' remote_path='testme.py'
2026-04-17T16:07:26.367897+01:00 2026-04-17 15: 07:26 | INFO | qsh.server | event=session_error session='S0007' client='10.10.0.1' error="FileNotFoundError(2, 'No such file or directory')"
2026-04-17T16:07:33.088375+01:00 2026-04-17 15: 07:33 | INFO | qsh.server | event=session_open session='S0008' client='10.10.0.1' addr=('10.10.0.1', 35058)
2026-04-17T16:07:33.274795+01:00 2026-04-17 15: 07:33 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
