[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:88 | UID=CN1vDl1yMH4bxO2lkd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:21571 | UID=CwISqh4HyEIy8BjJ2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:43 | UID=CfryvE1GoKD9Ztm6ig | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:714 | UID=CofGmA1oz2oMhUpwre | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1024 | UID=CyDwhvYmtwLVpEpya | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:7625 | UID=C8P7tp1lqqPPXRKVkh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:15000 | UID=CLXWIQ2GwHw96XK3xc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:7001 | UID=CJn2Kj2VTlyG9bJwFk | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5414 | UID=CAhY3k3Vi3h1ehvsEe | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:83 | UID=C4HWy02AsSPzTzpQUh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5906 | UID=CZLWPpwXqm25z88Xc | ATTACK=portscan | CONF=0.9944
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2034 | UID=CxbAEz1lTmA7hK8SV3 | ATTACK=portscan | CONF=0.9902
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:648 | UID=C6dRz03ZCqU42dHgz4 | ATTACK=portscan | CONF=0.9876
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:32773 | UID=Cz1JKh2yhPzgw3pfy | ATTACK=hostsweep | CONF=0.5280
